pathway.id	pathway.description	genes	GO
path:ota00670	One carbon pool by folate	ostta01g05920,ostta01g06390,ostta03g00920,ostta03g04670,ostta06g02970,ostta09g03000,ostta10g02780,ostta14g01960,ostta14g02420,ostta18g00940,ostta19g00170	GO:0006730
path:ota00710	Carbon fixation in photosynthetic organisms	ostta01g00040,ostta01g01560,ostta01g03040,ostta02g02860,ostta02g04360,ostta03g00180,ostta03g00350,ostta03g00660,ostta03g02830,ostta03g05500,ostta04g02740,ostta04g03550,ostta04g04420,ostta05g01300,ostta05g04130,ostta06g00150,ostta06g00700,ostta06g01650,ostta06g01760,ostta06g02270,ostta06g03750,ostta07g01040,ostta07g04370,ostta08g00050,ostta08g00930,ostta09g00120,ostta09g00160,ostta09g03765,ostta10g01470,ostta10g03420,ostta12g02650,ostta12g02960,ostta14g01010,ostta18g01880,ostta18g01890	GO:0015977
path:ota00730	Thiamine metabolism	ostta02g01730,ostta03g02300,ostta04g03520,ostta05g00550,ostta07g03730,ostta08g00060,ostta09g02360,ostta09g03630,ostta10g00520,ostta12g00900,ostta12g00940,ostta16g01270	GO:0006772
path:ota00740	Riboflavin metabolism	ostta01g05850,ostta07g02510,ostta07g03400,ostta08g01610,ostta08g01895	GO:0006771
path:ota00750	Vitamin B6 metabolism	ostta03g00220,ostta03g03260,ostta04g01500,ostta10g00690,ostta13g00190,ostta14g01245,ostta17g02360	GO:0042816
path:ota00760	Nicotinate and nicotinamide metabolism	ostta01g03120,ostta02g03550,ostta03g04150,ostta06g01180,ostta08g00860,ostta09g01930,ostta09g02160,ostta12g00480,ostta15g00890,ostta16g01540,ostta17g01800	GO:0046497
path:ota00770	Pantothenate and CoA biosynthesis	ostta01g00390,ostta01g04230,ostta02g02520,ostta03g02470,ostta03g03860,ostta04g01600,ostta04g04750,ostta08g01780,ostta08g02240,ostta09g02630,ostta11g00540,ostta11g01280,ostta14g00820,ostta16g01150,ostta16g02080	GO:0015937
path:ota00780	Biotin metabolism	ostta01g02220,ostta02g01840,ostta02g02000,ostta02g04460,ostta03g04010,ostta07g03880,ostta10g00580,ostta10g00770,ostta13g01490,ostta15g01470	GO:0006768
path:ota00785	Lipoic acid metabolism	ostta04g03030,ostta05g02990,ostta06g03510,ostta15g00120	GO:0009106
path:ota00790	Folate biosynthesis	ostta01g05920,ostta02g00320,ostta02g05520,ostta05g00090,ostta06g00040,ostta06g02900,ostta08g01610,ostta09g01790,ostta09g02690,ostta10g02030,ostta13g01570,ostta14g01610,ostta17g00200,ostta18g00900	GO:0006761
path:ota00860	Porphyrin metabolism	ostta01g02390,ostta01g02870,ostta01g04150,ostta01g04340,ostta01g05690,ostta02g01420,ostta02g02380,ostta02g02510,ostta03g03160,ostta04g02090,ostta04g04940,ostta05g00530,ostta05g01030,ostta05g01070,ostta05g01230,ostta05g04960,ostta06g03370,ostta07g00385,ostta07g01740,ostta07g02450,ostta07g02590,ostta08g01100,ostta11g00690,ostta11g02670,ostta12g01030,ostta12g01390,ostta12g02460,ostta13g01560,ostta14g00340,ostta14g01075,ostta14g02010,ostta15g01270,ostta15g02680,ostta16g01550,ostta17g00130,ostta17g01000,ostta17g01450,ostta18g01610,ostta18g01860,ostta20g00080	GO:0006778
path:ota00900	Terpenoid backbone biosynthesis	ostta02g01730,ostta02g02510,ostta02g03570,ostta02g03660,ostta03g02390,ostta04g03170,ostta04g03270,ostta05g04420,ostta07g03570,ostta08g01180,ostta09g00960,ostta09g02460,ostta10g00030,ostta10g02435,ostta11g00050,ostta12g01280,ostta14g02890,ostta16g01910,ostta16g02450,ostta17g01400	GO:0006694
path:ota00906	Carotenoid biosynthesis	ostta01g05990,ostta02g02500,ostta05g03530,ostta09g02540,ostta10g01980,ostta10g02860,ostta13g02440,ostta13g03060,ostta16g00590,ostta16g00660,ostta16g00670	GO:0016117
path:ota00909	Sesquiterpenoid and triterpenoid biosynthesis	ostta04g02080,ostta08g03180	GO:0016114
path:ota00910	Nitrogen metabolism	ostta01g05020,ostta01g05830,ostta10g00920,ostta10g00930,ostta10g00950,ostta14g01900	GO:0006807
path:ota00920	Sulfur metabolism	ostta03g01040,ostta06g04570,ostta07g04640,ostta09g00970,ostta09g03020,ostta10g00290,ostta10g01260,ostta10g02490,ostta11g02320,ostta12g00140,ostta12g01880,ostta12g03060,ostta14g00360,ostta15g00090,ostta15g00830,ostta17g01780	GO:0006790
path:ota00950	Isoquinoline alkaloid biosynthesis	ostta01g04490,ostta05g01300,ostta16g00710	GO:0033075
path:ota00960	Tropane, piperidine and pyridine alkaloid biosynthesis	ostta01g04490,ostta02g01690,ostta05g01300,ostta16g00710,ostta16g01100	GO:0043651
path:ota00966	Glucosinolate biosynthesis	ostta04g04750,ostta08g02240	GO:0019761
path:ota00970	Aminoacyl-tRNA biosynthesis	ostta01g01460,ostta01g04150,ostta01g04340,ostta02g00900,ostta02g00950,ostta02g01140,ostta02g01790,ostta02g01970,ostta02g02270,ostta02g04600,ostta03g02860,ostta03g05145,ostta04g00400,ostta04g01610,ostta04g01660,ostta04g02650,ostta04g04740,ostta06g00460,ostta06g01790,ostta06g02460,ostta06g02530,ostta06g02920,ostta07g00280,ostta07g01260,ostta07g01880,ostta07g02780,ostta07g04600,ostta08g02010,ostta08g03610,ostta08g03770,ostta09g01860,ostta09g01900,ostta10g00100,ostta11g00980,ostta11g01930,ostta11g02020,ostta11g02560,ostta11g03280,ostta13g01580,ostta14g01080,ostta14g01840,ostta14g01960,ostta15g00620,ostta18g00480	GO:0006418
path:ota00999	Biosynthesis of various plant secondary metabolites	ostta12g02610,ostta15g00955	GO:0044550
path:ota01040	Biosynthesis of unsaturated fatty acids	ostta01g02650,ostta02g00200,ostta03g04210,ostta04g03510,ostta05g03730,ostta06g04450,ostta09g02530,ostta12g02310,ostta13g01040,ostta13g02530,ostta17g02010	GO:0006633
