gene_id	GO_ids
ostta02g05190	GO:0000785; GO:0005654; GO:0006357; GO:0032991
ostta02g04817	GO:0003677; GO:0005634
ostta02g02140	GO:0003677; GO:0008270
ostta09g00450	GO:0000978; GO:0000981; GO:0005634
ostta05g01280	GO:0000978; GO:0000981; GO:0005634
ostta05g01770	GO:0000978; GO:0001006; GO:0005634; GO:0019185; GO:0042795; GO:0042796
ostta10g02070	GO:0000978; GO:0000981; GO:0005634
ostta15g00690	
ostta16g01090	GO:0000978; GO:0000981; GO:0005634; GO:0016787
ostta01g05160	GO:0000978; GO:0000981; GO:0005634; GO:0045944; GO:0046983
ostta09g03790	GO:0003677; GO:0005634; GO:0006355
ostta17g00450	GO:0003677; GO:0005634; GO:0006355
ostta18g01760	GO:0003677; GO:0005634; GO:0016020
ostta05g03900	GO:0000981; GO:0003677; GO:0005634
ostta02g02260	GO:0003677; GO:0005634
ostta03g02800	
ostta16g01340	GO:0000160; GO:0003677; GO:0005634; GO:0009736
ostta12g02780	GO:0003677; GO:0003700; GO:0005634
ostta12g01420	GO:0003677; GO:0003700; GO:0005634
ostta20g00800	GO:0005634; GO:0006355
ostta02g03300	GO:0016758
ostta02g04325	GO:0003993
ostta06g03980	GO:0000209; GO:0008270; GO:0061630
ostta04g00370	GO:0003677; GO:0008270; GO:0010468
ostta02g05470	GO:0051722
ostta03g00250	GO:0008270
ostta18g00170	GO:0003729; GO:0008270; GO:0010468; GO:0051252
ostta01g03800	GO:0005737
ostta03g01770	GO:0005886
ostta03g04820	GO:0005634; GO:0008270
ostta10g03080	GO:0008270
ostta16g00970	GO:0003676; GO:0008270
ostta07g00980	GO:0005634; GO:0006355; GO:0008270
ostta09g01510	GO:0005634; GO:0008270
ostta04g03620	GO:0005634; GO:0008270
ostta08g01730	GO:0000160; GO:0003677; GO:0003700
ostta04g02850	GO:0003677; GO:0003700
ostta07g00720	GO:0000122; GO:0000978; GO:0000981; GO:0005634; GO:0008270; GO:0045944
ostta03g01100	GO:0006355; GO:0008270; GO:0043565
ostta07g03410	GO:0006355; GO:0008270; GO:0043565
ostta03g03430	GO:0046872
ostta05g02190	GO:0006355; GO:0008270; GO:0043565
